KHACHHANG_ID,NGAY,UP,DOWN,NGAY_THANHLY,THANHLY
5645,1/19/2023,0,2,5/31/2023,1
5645,1/24/2023,0,1,5/31/2023,1
5645,1/27/2023,0,5,5/31/2023,1
5645,1/30/2023,0,3,5/31/2023,1
5645,1/31/2023,0,1,5/31/2023,1
5645,2/1/2023,0,6,5/31/2023,1
5645,2/2/2023,0,6,5/31/2023,1
5645,2/3/2023,0,15,5/31/2023,1
5645,2/6/2023,0,13,5/31/2023,1
5645,2/7/2023,0,11,5/31/2023,1
5645,2/8/2023,0,5,5/31/2023,1
5645,2/9/2023,0,1,5/31/2023,1
5645,2/10/2023,0,5,5/31/2023,1
5645,2/13/2023,0,10,5/31/2023,1
5645,2/14/2023,0,8,5/31/2023,1
5645,2/15/2023,0,6,5/31/2023,1
5645,2/16/2023,0,5,5/31/2023,1
5645,2/17/2023,0,6,5/31/2023,1
5645,2/20/2023,0,8,5/31/2023,1
5645,2/21/2023,0,9,5/31/2023,1
5645,2/22/2023,0,12,5/31/2023,1
5645,2/23/2023,0,7,5/31/2023,1
5645,2/24/2023,0,7,5/31/2023,1
5645,2/27/2023,0,7,5/31/2023,1
5645,2/28/2023,0,4,5/31/2023,1
5645,3/1/2023,0,11,5/31/2023,1
5645,3/2/2023,0,6,5/31/2023,1
5645,3/3/2023,0,6,5/31/2023,1
5645,3/6/2023,0,7,5/31/2023,1
5645,3/7/2023,0,4,5/31/2023,1
5645,3/8/2023,0,5,5/31/2023,1
5645,3/9/2023,0,6,5/31/2023,1
5645,3/10/2023,0,5,5/31/2023,1
5645,3/12/2023,0,0,5/31/2023,1
5645,3/13/2023,0,5,5/31/2023,1
5645,3/14/2023,0,6,5/31/2023,1
5645,3/15/2023,0,5,5/31/2023,1
5645,3/16/2023,0,4,5/31/2023,1
5645,3/17/2023,0,10,5/31/2023,1
5645,3/18/2023,0,1,5/31/2023,1
5645,3/20/2023,0,7,5/31/2023,1
5645,3/21/2023,0,5,5/31/2023,1
5645,3/22/2023,0,10,5/31/2023,1
5645,3/23/2023,0,10,5/31/2023,1
5645,3/24/2023,0,13,5/31/2023,1
5645,3/25/2023,0,2,5/31/2023,1
5645,3/27/2023,0,4,5/31/2023,1
5645,3/28/2023,0,6,5/31/2023,1
5645,3/29/2023,0,7,5/31/2023,1
5645,3/30/2023,0,4,5/31/2023,1
5645,3/31/2023,0,11,5/31/2023,1
5645,4/1/2023,0,0,5/31/2023,1
5645,4/3/2023,0,9,5/31/2023,1
5645,4/4/2023,0,6,5/31/2023,1
5645,4/5/2023,0,10,5/31/2023,1
5645,4/6/2023,0,3,5/31/2023,1
5645,4/7/2023,0,5,5/31/2023,1
5645,4/8/2023,0,2,5/31/2023,1
5645,4/10/2023,0,8,5/31/2023,1
5645,4/11/2023,0,19,5/31/2023,1
5645,4/12/2023,0,13,5/31/2023,1
5645,4/13/2023,0,10,5/31/2023,1
